Feature,Region,Status,IsSynthetic,Provenance
Copilot in Fabric,uksouth,Unavailable,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Real-Time Intelligence,uksouth,Unavailable,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Mirrored Databases,uksouth,Unavailable,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
OneLake Shortcuts,uksouth,Unavailable,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Data Activator,uksouth,Unavailable,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Fabric SQL Database,uksouth,Planned,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Copilot in Fabric,westus2,Planned,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Real-Time Intelligence,westus2,Planned,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Mirrored Databases,westus2,Unavailable,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
OneLake Shortcuts,westus2,Unavailable,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Data Activator,westus2,Unavailable,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Fabric SQL Database,westus2,Preview,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
