OperationalIncidentId,CapacityId,DatacentreId,Region,FabricSku,SKUClass,OpenedDate,Severity,IncidentType,DowntimeMinutes,ImpactedCustomers,IsSynthetic,Provenance
OPS00874,westus2-dc02-cap02,westus2-dc02,westus2,F16,AMD-standard,2025-09-02,Sev1,Node unresponsive,339,2,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00187,centralindia-dc06-cap03,centralindia-dc06,centralindia,F2,Intel-highmem,2025-09-02,Sev4,Unplanned reboot,8,8,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00248,westeurope-dc01-cap03,westeurope-dc01,westeurope,F4,GPU-class,2025-09-02,Sev3,Storage latency,29,2,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00717,eastus2-dc08-cap03,eastus2-dc08,eastus2,F8,AMD-highmem,2025-09-03,Sev3,Network partition,54,4,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00812,uksouth-dc07-cap01,uksouth-dc07,uksouth,F256,AMD-standard,2025-09-03,Sev4,Network partition,6,8,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00411,northcentralus-dc09-cap01,northcentralus-dc09,northcentralus,F256,GPU-class,2025-09-03,Sev3,Unplanned reboot,45,3,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00976,northeurope-dc10-cap02,northeurope-dc10,northeurope,F8,AMD-standard,2025-09-04,Sev4,Node unresponsive,4,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00139,centralindia-dc04-cap01,centralindia-dc04,centralindia,F32,Intel-highmem,2025-09-04,Sev1,Network partition,239,2,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00201,centralindia-dc08-cap02,centralindia-dc08,centralindia,F2,Intel-standard,2025-09-04,Sev4,Capacity throttling,14,7,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00351,northcentralus-dc04-cap01,northcentralus-dc04,northcentralus,F64,GPU-class,2025-09-04,Sev3,Network partition,26,4,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00487,canadacentral-dc04-cap01,canadacentral-dc04,canadacentral,F128,AMD-highmem,2025-09-04,Sev4,Capacity throttling,3,5,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00273,westeurope-dc07-cap01,westeurope-dc07,westeurope,F4,GPU-class,2025-09-04,Sev2,Unplanned reboot,176,5,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00675,eastus2-dc02-cap01,eastus2-dc02,eastus2,F128,AMD-highmem,2025-09-04,Sev2,Network partition,20,8,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00212,centralindia-dc09-cap02,centralindia-dc09,centralindia,F2,Intel-highmem,2025-09-04,Sev3,Unplanned reboot,16,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00944,northeurope-dc01-cap01,northeurope-dc01,northeurope,F64,AMD-highmem,2025-09-04,Sev3,Unplanned reboot,36,2,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00826,uksouth-dc07-cap02,uksouth-dc07,uksouth,F32,AMD-standard,2025-09-04,Sev4,Node unresponsive,12,2,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00165,centralindia-dc05-cap01,centralindia-dc05,centralindia,F16,Intel-highmem,2025-09-05,Sev3,Storage latency,6,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00027,southcentralus-dc01-cap04,southcentralus-dc01,southcentralus,F4,Intel-highmem,2025-09-05,Sev3,Unplanned reboot,30,4,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00702,eastus2-dc07-cap02,eastus2-dc07,eastus2,F32,AMD-highmem,2025-09-05,Sev3,Storage latency,25,4,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00133,centralindia-dc03-cap01,centralindia-dc03,centralindia,F2,Intel-standard,2025-09-05,Sev2,Network partition,45,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00145,centralindia-dc04-cap02,centralindia-dc04,centralindia,F16,Intel-highmem,2025-09-05,Sev4,Node unresponsive,3,5,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00683,eastus2-dc02-cap03,eastus2-dc02,eastus2,F2,AMD-highmem,2025-09-05,Sev3,Storage latency,5,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00559,canadacentral-dc10-cap01,canadacentral-dc10,canadacentral,F128,AMD-highmem,2025-09-05,Sev4,Network partition,5,2,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00220,centralindia-dc10-cap01,centralindia-dc10,centralindia,F64,Intel-highmem,2025-09-06,Sev3,Node unresponsive,16,2,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00853,uksouth-dc09-cap01,uksouth-dc09,uksouth,F128,AMD-highmem,2025-09-06,Sev2,Memory pressure,71,4,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00232,centralindia-dc10-cap02,centralindia-dc10,centralindia,F4,Intel-highmem,2025-09-06,Sev4,Storage latency,12,5,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00319,northcentralus-dc01-cap01,northcentralus-dc01,northcentralus,F64,GPU-class,2025-09-06,Sev2,Node unresponsive,38,5,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00817,uksouth-dc07-cap01,uksouth-dc07,uksouth,F256,AMD-standard,2025-09-06,Sev2,Memory pressure,114,4,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00101,southcentralus-dc09-cap02,southcentralus-dc09,southcentralus,F8,Intel-standard,2025-09-07,Sev4,Storage latency,10,5,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00609,canadaeast-dc06-cap04,canadaeast-dc06,canadaeast,F8,AMD-highmem,2025-09-07,Sev4,Capacity throttling,4,2,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00777,uksouth-dc06-cap01,uksouth-dc06,uksouth,F128,AMD-highmem,2025-09-07,Sev3,Capacity throttling,7,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00253,westeurope-dc01-cap04,westeurope-dc01,westeurope,F2,GPU-class,2025-09-07,Sev3,Node unresponsive,44,8,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00854,uksouth-dc09-cap01,uksouth-dc09,uksouth,F128,AMD-highmem,2025-09-07,Sev4,Memory pressure,14,4,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00830,uksouth-dc07-cap04,uksouth-dc07,uksouth,F4,AMD-standard,2025-09-08,Sev2,Node unresponsive,114,1,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00403,northcentralus-dc09-cap01,northcentralus-dc09,northcentralus,F256,GPU-class,2025-09-08,Sev3,Node unresponsive,31,8,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00359,northcentralus-dc04-cap03,northcentralus-dc04,northcentralus,F4,GPU-class,2025-09-08,Sev3,Storage latency,20,5,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00161,centralindia-dc04-cap03,centralindia-dc04,centralindia,F4,Intel-highmem,2025-09-08,Sev3,Memory pressure,54,8,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00449,canadacentral-dc01-cap01,canadacentral-dc01,canadacentral,F128,AMD-highmem,2025-09-08,Sev2,Network partition,111,3,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00601,canadaeast-dc06-cap01,canadaeast-dc06,canadaeast,F128,AMD-highmem,2025-09-08,Sev3,Storage latency,16,3,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00388,northcentralus-dc08-cap01,northcentralus-dc08,northcentralus,F128,AMD-highmem,2025-09-08,Sev3,Capacity throttling,26,8,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00205,centralindia-dc09-cap01,centralindia-dc09,centralindia,F8,Intel-highmem,2025-09-08,Sev3,Storage latency,17,8,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00673,eastus2-dc01-cap05,eastus2-dc01,eastus2,F2,AMD-highmem,2025-09-08,Sev3,Memory pressure,53,7,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00861,uksouth-dc10-cap01,uksouth-dc10,uksouth,F128,AMD-highmem,2025-09-08,Sev3,Capacity throttling,17,5,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00346,northcentralus-dc03-cap03,northcentralus-dc03,northcentralus,F4,AMD-highmem,2025-09-09,Sev3,Node unresponsive,25,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00495,canadacentral-dc04-cap03,canadacentral-dc04,canadacentral,F8,AMD-highmem,2025-09-09,Sev3,Node unresponsive,53,8,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00564,canadacentral-dc10-cap02,canadacentral-dc10,canadacentral,F32,AMD-highmem,2025-09-09,Sev4,Memory pressure,14,4,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00664,eastus2-dc01-cap02,eastus2-dc01,eastus2,F128,AMD-highmem,2025-09-09,Sev2,Unplanned reboot,111,1,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00885,westus2-dc05-cap01,westus2-dc05,westus2,F4,AMD-highmem,2025-09-09,Sev4,Capacity throttling,3,3,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00711,eastus2-dc08-cap01,eastus2-dc08,eastus2,F128,AMD-highmem,2025-09-10,Sev3,Network partition,52,7,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00196,centralindia-dc07-cap03,centralindia-dc07,centralindia,F2,Intel-standard,2025-09-10,Sev2,Network partition,85,4,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00643,canadaeast-dc10-cap01,canadaeast-dc10,canadaeast,F128,AMD-highmem,2025-09-10,Sev2,Network partition,139,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00339,northcentralus-dc02-cap04,northcentralus-dc02,northcentralus,F2,GPU-class,2025-09-10,Sev3,Node unresponsive,39,1,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00324,northcentralus-dc01-cap02,northcentralus-dc01,northcentralus,F4,GPU-class,2025-09-10,Sev3,Memory pressure,24,3,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00721,eastus2-dc08-cap05,eastus2-dc08,eastus2,F2,AMD-highmem,2025-09-10,Sev4,Network partition,10,7,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00420,northcentralus-dc09-cap01,northcentralus-dc09,northcentralus,F256,GPU-class,2025-09-10,Sev3,Node unresponsive,9,3,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00693,eastus2-dc05-cap01,eastus2-dc05,eastus2,F128,AMD-highmem,2025-09-10,Sev2,Memory pressure,25,7,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00823,uksouth-dc07-cap01,uksouth-dc07,uksouth,F256,AMD-standard,2025-09-10,Sev3,Network partition,46,8,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00047,southcentralus-dc04-cap01,southcentralus-dc04,southcentralus,F32,Intel-standard,2025-09-10,Sev3,Unplanned reboot,26,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00289,westeurope-dc09-cap03,westeurope-dc09,westeurope,F2,AMD-highmem,2025-09-11,Sev3,Capacity throttling,24,1,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00194,centralindia-dc07-cap02,centralindia-dc07,centralindia,F8,Intel-standard,2025-09-11,Sev3,Unplanned reboot,30,4,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00619,canadaeast-dc08-cap01,canadaeast-dc08,canadaeast,F128,AMD-highmem,2025-09-11,Sev4,Memory pressure,1,1,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00298,westeurope-dc10-cap01,westeurope-dc10,westeurope,F128,GPU-class,2025-09-11,Sev3,Storage latency,14,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00496,canadacentral-dc05-cap01,canadacentral-dc05,canadacentral,F128,AMD-highmem,2025-09-11,Sev2,Memory pressure,55,1,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00890,westus2-dc07-cap01,westus2-dc07,westus2,F64,AMD-highmem,2025-09-11,Sev2,Node unresponsive,27,4,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00003,southcentralus-dc01-cap01,southcentralus-dc01,southcentralus,F64,Intel-highmem,2025-09-11,Sev3,Storage latency,7,2,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00088,southcentralus-dc07-cap03,southcentralus-dc07,southcentralus,F4,Intel-highmem,2025-09-11,Sev2,Memory pressure,35,8,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00072,southcentralus-dc06-cap02,southcentralus-dc06,southcentralus,F16,Intel-highmem,2025-09-11,Sev4,Network partition,1,7,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00014,southcentralus-dc01-cap02,southcentralus-dc01,southcentralus,F16,Intel-highmem,2025-09-11,Sev3,Node unresponsive,38,2,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00658,eastus2-dc01-cap01,eastus2-dc01,eastus2,F256,AMD-highmem,2025-09-11,Sev2,Capacity throttling,52,7,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00666,eastus2-dc01-cap02,eastus2-dc01,eastus2,F128,AMD-highmem,2025-09-12,Sev2,Unplanned reboot,178,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00418,northcentralus-dc09-cap01,northcentralus-dc09,northcentralus,F256,GPU-class,2025-09-12,Sev3,Node unresponsive,29,5,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00797,uksouth-dc07-cap01,uksouth-dc07,uksouth,F256,AMD-standard,2025-09-12,Sev4,Network partition,2,7,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00032,southcentralus-dc02-cap01,southcentralus-dc02,southcentralus,F32,Intel-highmem,2025-09-12,Sev4,Network partition,8,1,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00963,northeurope-dc08-cap02,northeurope-dc08,northeurope,F8,AMD-highmem,2025-09-12,Sev3,Unplanned reboot,57,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00480,canadacentral-dc03-cap02,canadacentral-dc03,canadacentral,F64,AMD-highmem,2025-09-12,Sev3,Network partition,14,4,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00265,westeurope-dc06-cap01,westeurope-dc06,westeurope,F8,GPU-class,2025-09-12,Sev3,Network partition,40,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00858,uksouth-dc09-cap06,uksouth-dc09,uksouth,F2,AMD-highmem,2025-09-12,Sev3,Capacity throttling,44,2,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00808,uksouth-dc07-cap01,uksouth-dc07,uksouth,F256,AMD-standard,2025-09-13,Sev4,Storage latency,5,5,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00345,northcentralus-dc03-cap02,northcentralus-dc03,northcentralus,F8,AMD-highmem,2025-09-13,Sev3,Network partition,57,4,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00406,northcentralus-dc09-cap01,northcentralus-dc09,northcentralus,F256,GPU-class,2025-09-13,Sev3,Unplanned reboot,11,8,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00189,centralindia-dc07-cap01,centralindia-dc07,centralindia,F16,Intel-standard,2025-09-13,Sev1,Capacity throttling,194,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00019,southcentralus-dc01-cap03,southcentralus-dc01,southcentralus,F8,Intel-highmem,2025-09-13,Sev3,Memory pressure,11,4,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00184,centralindia-dc06-cap02,centralindia-dc06,centralindia,F16,Intel-highmem,2025-09-13,Sev2,Capacity throttling,41,8,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00912,eastus-dc05-cap01,eastus-dc05,eastus,F64,AMD-standard,2025-09-13,Sev4,Unplanned reboot,4,1,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00367,northcentralus-dc05-cap01,northcentralus-dc05,northcentralus,F128,GPU-class,2025-09-13,Sev2,Unplanned reboot,43,8,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00475,canadacentral-dc03-cap01,canadacentral-dc03,canadacentral,F128,AMD-highmem,2025-09-13,Sev3,Storage latency,29,1,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00679,eastus2-dc02-cap02,eastus2-dc02,eastus2,F16,AMD-highmem,2025-09-13,Sev4,Storage latency,10,1,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00305,westeurope-dc10-cap02,westeurope-dc10,westeurope,F64,GPU-class,2025-09-13,Sev3,Node unresponsive,38,2,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00590,canadaeast-dc03-cap01,canadaeast-dc03,canadaeast,F128,AMD-standard,2025-09-13,Sev4,Node unresponsive,3,1,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00586,canadaeast-dc03-cap01,canadaeast-dc03,canadaeast,F128,AMD-standard,2025-09-14,Sev2,Storage latency,178,8,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00162,centralindia-dc05-cap01,centralindia-dc05,centralindia,F16,Intel-highmem,2025-09-14,Sev3,Capacity throttling,15,2,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00695,eastus2-dc05-cap01,eastus2-dc05,eastus2,F128,AMD-highmem,2025-09-14,Sev4,Memory pressure,12,5,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00866,westus2-dc01-cap02,westus2-dc01,westus2,F8,AMD-standard,2025-09-14,Sev4,Memory pressure,12,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00030,southcentralus-dc02-cap01,southcentralus-dc02,southcentralus,F32,Intel-highmem,2025-09-14,Sev2,Capacity throttling,133,5,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00966,northeurope-dc08-cap04,northeurope-dc08,northeurope,F2,AMD-highmem,2025-09-15,Sev3,Storage latency,38,1,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00547,canadacentral-dc08-cap02,canadacentral-dc08,canadacentral,F16,AMD-highmem,2025-09-15,Sev2,Storage latency,111,3,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00857,uksouth-dc09-cap05,uksouth-dc09,uksouth,F4,AMD-highmem,2025-09-15,Sev4,Node unresponsive,6,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00836,uksouth-dc08-cap01,uksouth-dc08,uksouth,F128,AMD-highmem,2025-09-16,Sev3,Node unresponsive,11,2,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00193,centralindia-dc07-cap01,centralindia-dc07,centralindia,F16,Intel-standard,2025-09-16,Sev3,Network partition,21,8,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00005,southcentralus-dc01-cap01,southcentralus-dc01,southcentralus,F64,Intel-highmem,2025-09-16,Sev4,Storage latency,5,2,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00628,canadaeast-dc09-cap01,canadaeast-dc09,canadaeast,F128,AMD-highmem,2025-09-16,Sev3,Network partition,51,5,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00249,westeurope-dc01-cap04,westeurope-dc01,westeurope,F2,GPU-class,2025-09-16,Sev3,Node unresponsive,46,8,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00677,eastus2-dc02-cap02,eastus2-dc02,eastus2,F16,AMD-highmem,2025-09-16,Sev3,Storage latency,33,1,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00961,northeurope-dc07-cap03,northeurope-dc07,northeurope,F4,AMD-standard,2025-09-16,Sev2,Storage latency,175,5,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00538,canadacentral-dc07-cap03,canadacentral-dc07,canadacentral,F64,AMD-standard,2025-09-16,Sev1,Network partition,76,3,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00614,canadaeast-dc07-cap01,canadaeast-dc07,canadaeast,F32,AMD-standard,2025-09-16,Sev3,Memory pressure,9,5,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00638,canadaeast-dc09-cap05,canadaeast-dc09,canadaeast,F2,AMD-highmem,2025-09-17,Sev1,Node unresponsive,372,4,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00775,uksouth-dc05-cap05,uksouth-dc05,uksouth,F2,AMD-highmem,2025-09-17,Sev3,Memory pressure,41,5,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00326,northcentralus-dc01-cap03,northcentralus-dc01,northcentralus,F2,GPU-class,2025-09-17,Sev4,Memory pressure,9,1,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00869,westus2-dc01-cap03,westus2-dc01,westus2,F4,AMD-standard,2025-09-17,Sev3,Node unresponsive,10,1,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00950,northeurope-dc03-cap01,northeurope-dc03,northeurope,F8,AMD-standard,2025-09-17,Sev4,Capacity throttling,3,7,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
